Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
291.15,0.0,0.0,0.0,0.0,0.0,0.0
291.202,0.0,0.0,0.0,0.0,0.0,0.0
291.226,0.0,0.0,0.0,0.0,0.0,0.0
291.25,0.0,0.0,0.0,0.0,0.0,0.0
291.302,0.0,0.0,0.0,0.0,0.0,0.0
291.33,0.0,0.0,0.0,0.0,0.0,0.0
291.35,0.0,0.0,0.0,0.0,0.0,0.0
291.402,0.0,0.0,0.0,0.0,0.0,0.0
291.426,0.0,0.0,0.0,0.0,0.0,0.0
291.45,0.0,0.0,0.0,0.0,0.0,0.0
291.502,0.0,0.0,0.0,0.0,0.0,0.0
291.51,0.0,0.0,0.0,0.0,0.0,0.0
291.554,0.0,0.0,0.0,0.0,0.0,0.0
291.59,0.0,0.0,0.0,0.0,0.0,0.0
291.63,0.0,0.0,0.0,0.0,0.0,0.0
291.654,0.0,0.0,0.0,0.0,0.0,0.0
291.702,0.0,0.0,0.0,0.0,0.0,0.0
291.722,0.0,0.0,0.0,0.0,0.0,0.0
291.754,0.0,0.0,0.0,0.0,0.0,0.0
291.798,0.0,0.0,0.0,0.0,0.0,0.0
291.826,0.0,0.0,0.0,0.0,0.0,0.0
291.854,0.0,0.0,0.0,0.0,0.0,0.0
291.886,0.0,0.0,0.0,0.0,0.0,0.0
291.934,0.0,0.0,0.0,0.0,0.0,0.0
291.954,0.0,0.0,0.0,0.0,0.0,0.0
292.002,0.0,0.0,0.0,0.0,0.0,0.0
292.026,0.0,0.0,0.0,0.0,0.0,0.0
292.058,0.0,0.0,0.0,0.0,0.0,0.0
292.098,0.0,0.0,0.0,0.0,0.0,0.0
292.134,0.0,0.0,0.0,0.0,0.0,0.0
292.162,0.0,0.0,0.0,0.0,0.0,0.0
292.202,0.0,0.0,0.0,0.0,0.0,0.0
292.222,0.0,0.0,0.0,0.0,0.0,0.0
292.262,0.0,0.0,0.0,0.0,0.0,0.0
292.294,0.0,0.0,0.0,0.0,0.0,0.0
292.326,0.0,0.0,0.0,0.0,0.0,0.0
292.362,0.0,0.0,0.0,0.0,0.0,0.0
292.398,0.0,0.0,0.0,0.0,0.0,0.0
292.422,0.0,0.0,0.0,0.0,0.0,0.0
292.458,0.0,0.0,0.0,0.0,0.0,0.0
292.498,0.0,0.0,0.0,0.0,0.0,0.0
292.534,0.0,0.0,0.0,0.0,0.0,0.0
292.55,0.0,0.0,0.0,0.0,0.0,0.0
292.582,0.0,0.0,0.0,0.0,0.0,0.0
292.63,0.0,0.0,0.0,0.0,0.0,0.0
292.65,0.0,0.0,0.0,0.0,0.0,0.0
292.702,0.0,0.0,0.0,0.0,0.0,0.0
292.726,0.0,0.0,0.0,0.0,0.0,0.0
292.75,0.0,0.0,0.0,0.0,0.0,0.0
292.794,0.0,0.0,0.0,0.0,0.0,0.0
292.834,0.0,0.0,0.0,0.0,0.0,0.0
292.85,0.0,0.0,0.0,0.0,0.0,0.0
292.902,0.0,0.0,0.0,0.0,0.0,0.0
292.922,0.0,0.0,0.0,0.0,0.0,0.0
292.95,0.0,0.0,0.0,0.0,0.0,0.0
292.99,0.0,0.0,0.0,0.0,0.0,0.0
293.022,0.0,0.0,0.0,0.0,0.0,0.0
293.054,0.0,0.0,0.0,0.0,0.0,0.0
293.09,0.0,0.0,0.0,0.0,0.0,0.0
