Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
45.178,0.0,0.0,0.0,0.0,0.0,0.0
45.214,0.0,0.0,0.0,0.0,0.0,0.0
45.246,0.0,0.0,0.0,0.0,0.0,0.0
45.282,0.0,0.0,0.0,0.0,0.0,0.0
45.314,0.0,0.0,0.0,0.0,0.0,0.0
45.33,0.0,0.0,0.0,0.0,0.0,0.0
45.37,0.0,0.0,0.0,0.0,0.0,0.0
45.414,0.0,0.0,0.0,0.0,0.0,0.0
45.446,0.0,0.0,0.0,0.0,0.0,0.0
45.47,0.0,0.0,0.0,0.0,0.0,0.0
45.514,0.0,0.0,0.0,0.0,0.0,0.0
45.542,0.0,0.0,0.0,0.0,0.0,0.0
45.566,0.0,0.0,0.0,0.0,0.0,0.0
45.614,0.0,0.0,0.0,0.0,0.0,0.0
45.642,0.0,0.0,0.0,0.0,0.0,0.0
45.666,0.0,0.0,0.0,0.0,0.0,0.0
45.698,0.0,0.0,0.0,0.0,0.0,0.0
45.738,0.0,0.0,0.0,0.0,0.0,0.0
45.77,0.0,0.0,0.0,0.0,0.0,0.0
45.802,0.0,0.0,0.0,0.0,0.0,0.0
45.846000000000004,0.0,0.0,0.0,0.0,0.0,0.0
45.862,0.0,0.0,0.0,0.0,0.0,0.0
45.898,0.0,0.0,0.0,0.0,0.0,0.0
45.946,0.0,0.0,0.0,0.0,0.0,0.0
45.978,0.0,0.0,0.0,0.0,0.0,0.0
46.006,0.0,0.0,0.0,0.0,0.0,0.0
46.046,0.0,0.0,0.0,0.0,0.0,0.0
46.082,0.0,0.0,0.0,0.0,0.0,0.0
46.11,0.0,0.0,0.0,0.0,0.0,0.0
46.142,0.0,0.0,0.0,0.0,0.0,0.0
46.166,0.0,0.0,0.0,0.0,0.0,0.0
46.206,0.0,0.0,0.0,0.0,0.0,0.0
46.246,0.0,0.0,0.0,0.0,0.0,0.0
46.282,0.0,0.0,0.0,0.0,0.0,0.0
46.314,0.0,0.0,0.0,0.0,0.0,0.0
46.346,0.0,0.0,0.0,0.0,0.0,0.0
46.382,0.0,0.0,0.0,0.0,0.0,0.0
46.414,0.0,0.0,0.0,0.0,0.0,0.0
46.446,0.0,0.0,0.0,0.0,0.0,0.0
46.474,0.0,0.0,0.0,0.0,0.0,0.0
46.498,0.0,0.0,0.0,0.0,0.0,0.0
46.546,0.0,0.0,0.0,0.0,0.0,0.0
46.582,0.0,0.0,0.0,0.0,0.0,0.0
46.602,0.0,0.0,0.0,0.0,0.0,0.0
46.646,0.0,0.0,0.0,0.0,0.0,0.0
46.682,0.0,0.0,0.0,0.0,0.0,0.0
46.706,0.0,0.0,0.0,0.0,0.0,0.0
46.734,0.0,0.0,0.0,0.0,0.0,0.0
46.77,0.0,0.0,0.0,0.0,0.0,0.0
46.81,0.0,0.0,0.0,0.0,0.0,0.0
46.838,0.0,0.0,0.0,0.0,0.0,0.0
46.882,0.0,0.0,0.0,0.0,0.0,0.0
46.914,0.0,0.0,0.0,0.0,0.0,0.0
46.942,0.0,0.0,0.0,0.0,0.0,0.0
46.982,0.0,0.0,0.0,0.0,0.0,0.0
46.994,0.0,0.0,0.0,0.0,0.0,0.0
47.046,0.0,0.0,0.0,0.0,0.0,0.0
47.074,0.0,0.0,0.0,0.0,0.0,0.0
47.11,0.0,0.0,0.0,0.0,0.0,0.0
47.138,0.0,0.0,0.0,0.0,0.0,0.0
47.178,0.0,0.0,0.0,0.0,0.0,0.0
47.206,0.0,0.0,0.0,0.0,0.0,0.0
47.246,0.0,0.0,0.0,0.0,0.0,0.0
47.266,0.0,0.0,0.0,0.0,0.0,0.0
47.31,0.0,0.0,0.0,0.0,0.0,0.0
47.346,0.0,0.0,0.0,0.0,0.0,0.0
47.382,0.0,0.0,0.0,0.0,0.0,0.0
47.414,0.0,0.0,0.0,0.0,0.0,0.0
47.434,0.0,0.0,0.0,0.0,0.0,0.0
47.474,0.0,0.0,0.0,0.0,0.0,0.0
47.514,0.0,0.0,0.0,0.0,0.0,0.0
47.534,0.0,0.0,0.0,0.0,0.0,0.0
47.566,0.0,0.0,0.0,0.0,0.0,0.0
47.614,0.0,0.0,0.0,0.0,0.0,0.0
47.638,0.0,0.0,0.0,0.0,0.0,0.0
47.666,0.0,0.0,0.0,0.0,0.0,0.0
